"Time","Type","Details"
"2024-10-23 11:34 PM","Application Error","Faulting application name: Photos.exe, version: 0.0.0.0, time stamp: 0x66a9ebeb&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xf9f266e7&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x0000000000037ce0&#x000d;&#x000a;Faulting process id: 0x0x2F40&#x000d;&#x000a;Faulting application start time: 0x0x1DB2568E995618E&#x000d;&#x000a;Faulting application path: C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe\Photos.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: c0492106-262a-404a-b0db-873a273ed73b&#x000d;&#x000a;Faulting package full name: Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe&#x000d;&#x000a;Faulting package-relative application ID: App"
"2024-10-22 9:00 PM","Application Error","Faulting application name: Photos.exe, version: 0.0.0.0, time stamp: 0x66a9ebeb&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xf9f266e7&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x0000000000037ce0&#x000d;&#x000a;Faulting process id: 0x0x52E8&#x000d;&#x000a;Faulting application start time: 0x0x1DB24C56E86F6B0&#x000d;&#x000a;Faulting application path: C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe\Photos.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: bffd1496-ab69-4deb-801b-d1d1f1cc7aa4&#x000d;&#x000a;Faulting package full name: Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe&#x000d;&#x000a;Faulting package-relative application ID: App"
"2024-10-22 8:37 PM","Application Error","Faulting application name: Photos.exe, version: 0.0.0.0, time stamp: 0x66a9ebeb&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xf9f266e7&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x0000000000037ce0&#x000d;&#x000a;Faulting process id: 0x0x2D5C&#x000d;&#x000a;Faulting application start time: 0x0x1DB24C224F61CB9&#x000d;&#x000a;Faulting application path: C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe\Photos.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: c9bdb679-907e-442c-8719-badc1a0922e1&#x000d;&#x000a;Faulting package full name: Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe&#x000d;&#x000a;Faulting package-relative application ID: App"
"2024-10-22 8:25 PM","Application Error","Faulting application name: AdobeARM.exe, version: 1.824.460.1091, time stamp: 0x66aa7004&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xe4ff17f1&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x60C0&#x000d;&#x000a;Faulting application start time: 0x0x1DB24938A39E49A&#x000d;&#x000a;Faulting application path: C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: 363732e3-d380-4d86-871e-22d9a3c2be73&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-21 4:29 PM","Application Error","Faulting application name: TPHKLOAD.exe, version: 10.11.0.10, time stamp: 0x66a88c7b&#x000d;&#x000a;Faulting module name: MMDevApi.dll, version: 10.0.22621.4111, time stamp: 0x9c0bfaa5&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x000000000000e049&#x000d;&#x000a;Faulting process id: 0x0x180C&#x000d;&#x000a;Faulting application start time: 0x0x1DB23C4360537D5&#x000d;&#x000a;Faulting application path: C:\windows\System32\DriverStore\FileRepository\fn.inf_amd64_5eb3d885b4be7866\driver\TPHKLOAD.exe&#x000d;&#x000a;Faulting module path: C:\windows\System32\MMDevApi.dll&#x000d;&#x000a;Report Id: fc15f475-b609-407c-bf29-756708d55319&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-18 6:16 PM","Application Error","Faulting application name: ensserver.exe, version: 0.0.0.0, time stamp: 0x622838d2&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xe4ff17f1&#x000d;&#x000a;Exception code: 0xc0000374&#x000d;&#x000a;Fault offset: 0x000edc0f&#x000d;&#x000a;Faulting process id: 0x0x1750&#x000d;&#x000a;Faulting application start time: 0x0x1DB2189332D4B37&#x000d;&#x000a;Faulting application path: C:\Program Files (x86)\EaseUS\ENS\ensserver.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: aa2b20bf-3a71-49b8-84bd-26d3a1cac0d5&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-17 4:57 PM","Application Error","Faulting application name: lua.exe, version: 6.5.0.1, time stamp: 0x528d0d55&#x000d;&#x000a;Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x000002a0&#x000d;&#x000a;Faulting process id: 0x0x3090&#x000d;&#x000a;Faulting application start time: 0x0x1DB1B3E35F32BEC&#x000d;&#x000a;Faulting application path: C:\Program Files (x86)\Kaseya\VC3TS234319429909567\extensions\lua.exe&#x000d;&#x000a;Faulting module path: unknown&#x000d;&#x000a;Report Id: e6fb6e24-eebb-4305-88cb-26f24681b120&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-16 10:43 PM","Application Error","Faulting application name: KaseyaLiveConnect.exe, version: 9.5.8908.10196, time stamp: 0x664de832&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xf9f266e7&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x0000000000037ce0&#x000d;&#x000a;Faulting process id: 0x0x28BC&#x000d;&#x000a;Faulting application start time: 0x0x1DB201C217866DC&#x000d;&#x000a;Faulting application path: C:\Program Files\Kaseya Live Connect\KaseyaLiveConnect.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: ce1f9386-8fdc-47a0-9fd3-5d23bbfa34f0&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-16 6:07 PM","Application Error","Faulting application name: Sonos.exe, version: 6.0.0.34230, time stamp: 0x453d4bd8&#x000d;&#x000a;Faulting module name: KERNELBASE.dll, version: 10.0.22621.4317, time stamp: 0x9b6f2fe8&#x000d;&#x000a;Exception code: 0xc0020001&#x000d;&#x000a;Fault offset: 0x0014b282&#x000d;&#x000a;Faulting process id: 0x0x624&#x000d;&#x000a;Faulting application start time: 0x0x1DB1FF552E139DA&#x000d;&#x000a;Faulting application path: C:\Program Files (x86)\Sonos\Sonos.exe&#x000d;&#x000a;Faulting module path: C:\windows\System32\KERNELBASE.dll&#x000d;&#x000a;Report Id: 2d1e3c08-6628-4e46-9312-91a70f58f146&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-16 4:13 PM","Application Error","Faulting application name: WerFault.exe, version: 10.0.22621.3810, time stamp: 0x1aa5faec&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xe4ff17f1&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x446C&#x000d;&#x000a;Faulting application start time: 0x0x1DB1FE64AB65AA9&#x000d;&#x000a;Faulting application path: C:\windows\SysWOW64\WerFault.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: 70e50485-523f-4986-be31-02cc67a3cf8c&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
