"Time","Type","FaultingApplicationName","ApplicationVersion","FaultingModule","ExceptionCode","FaultOffset","FaultingProcessId","ReportId","FaultingPackageFullName"
"2024-10-23 11:34 PM","Application Error","Photos.exe","0.0.0.0","ntdll.dll","0xc0000005Fault","0x0000000000037ce0","0x0x2F40","c0492106-262a-404a-b0db-873a273ed73b","Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe"
"2024-10-22 9:00 PM","Application Error","Photos.exe","0.0.0.0","ntdll.dll","0xc0000005Fault","0x0000000000037ce0","0x0x52E8","bffd1496-ab69-4deb-801b-d1d1f1cc7aa4","Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe"
"2024-10-22 8:37 PM","Application Error","Photos.exe","0.0.0.0","ntdll.dll","0xc0000005Fault","0x0000000000037ce0","0x0x2D5C","c9bdb679-907e-442c-8719-badc1a0922e1","Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe"
"2024-10-22 8:25 PM","Application Error","AdobeARM.exe","1.824.460.1091","ntdll.dll","0xc0000005Fault","0x00044059","0x0x60C0","363732e3-d380-4d86-871e-22d9a3c2be73",""
"2024-10-21 4:29 PM","Application Error","TPHKLOAD.exe","10.11.0.10","MMDevApi.dll","0xc0000005Fault","0x000000000000e049","0x0x180C","fc15f475-b609-407c-bf29-756708d55319",""
"2024-10-18 6:16 PM","Application Error","ensserver.exe","0.0.0.0","ntdll.dll","0xc0000374Fault","0x000edc0f","0x0x1750","aa2b20bf-3a71-49b8-84bd-26d3a1cac0d5",""
"2024-10-17 4:57 PM","Application Error","lua.exe","6.5.0.1","unknown","0xc0000005Fault","0x000002a0","0x0x3090","e6fb6e24-eebb-4305-88cb-26f24681b120",""
"2024-10-16 10:43 PM","Application Error","KaseyaLiveConnect.exe","9.5.8908.10196","ntdll.dll","0xc0000005Fault","0x0000000000037ce0","0x0x28BC","ce1f9386-8fdc-47a0-9fd3-5d23bbfa34f0",""
"2024-10-16 6:07 PM","Application Error","Sonos.exe","6.0.0.34230","KERNELBASE.dll","0xc0020001Fault","0x0014b282","0x0x624","2d1e3c08-6628-4e46-9312-91a70f58f146",""
"2024-10-16 4:13 PM","Application Error","WerFault.exe","10.0.22621.3810","ntdll.dll","0xc0000005Fault","0x00044059","0x0x446C","70e50485-523f-4986-be31-02cc67a3cf8c",""
"2024-10-16 4:13 PM","Application Error","AdobeARM.exe","1.824.460.1091","ntdll.dll","0xc0000005Fault","0x00044059","0x0x5870","f63362df-e220-4706-bbc9-65df718c1eb4",""
"2024-10-15 10:22 PM","Application Error","Photos.exe","0.0.0.0","ntdll.dll","0xc0000005Fault","0x0000000000037ce0","0x0x6C38","731983e9-dab0-402d-a975-efa27dccbf58","Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe"
"2024-10-15 8:14 PM","Application Error","Photos.exe","0.0.0.0","ntdll.dll","0xc0000005Fault","0x0000000000037ce0","0x0x1AEC","24d9a86e-9b5f-4d9a-869a-0e14ea6c430a","Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe"
"2024-10-15 7:36 PM","Application Error","Photos.exe","0.0.0.0","ntdll.dll","0xc0000005Fault","0x0000000000037ce0","0x0x4378","3cfa613e-53ce-4b1d-9719-2f071ea6aed2","Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe"
"2024-10-15 3:11 PM","Application Error","Photos.exe","0.0.0.0","ntdll.dll","0xc0000005Fault","0x0000000000037ce0","0x0x4BF0","68dbaac3-2256-436c-bc70-86f13b1bc302","Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe"
"2024-10-10 10:27 PM","Application Error","dockManagersetup_1.5.2.2.tmp","51.1052.0.0","dockManagersetup_1.5.2.2.tmp","0xc0000005Fault","0x0000a600","0x0x1B98","1b6d79c2-cae2-427b-bd67-a77175c37174",""
